source_term	cn_term	style_bucket	priority	voice_rule	bucket_notes	wiki_anchor	character_note	source_key
Soldier	士兵	state_force_generic	secondary	命令式、程序式、执行式，短句优先。	适用于军队、警备、调查和政府执行链条角色；重点是职能感，不是华丽措辞。	https://pathologic.fandom.com/wiki/Aglaya_Lilich		Npcs.Army_Soldier.Name
Guard	守卫	state_force_generic	secondary	命令式、程序式、执行式，短句优先。	适用于军队、警备、调查和政府执行链条角色；重点是职能感，不是华丽措辞。	https://pathologic.fandom.com/wiki/Aglaya_Lilich		Npcs.Prologue_Guardian.Name
Clerk	书记员	state_force_generic	secondary	命令式、程序式、执行式，短句优先。	适用于军队、警备、调查和政府执行链条角色；重点是职能感，不是华丽措辞。	https://pathologic.fandom.com/wiki/Aglaya_Lilich		Npcs.GovernmentOfficial.Name
Lapwing	田凫	children_liminal	major	轻、怪、安静，像半只脚踩在现实边缘的孩子。	适用于格蕾丝、米什卡、小钉、滴答及其同类别名；保留异感和超龄洞察，不写成甜腻儿童腔。	https://pathologic.fandom.com/wiki/Grace	孩子气里带异感，像从现实边缘探头说话。	Npcs.Paramon.Name
Peewit	田凫	children_liminal	major	轻、怪、安静，像半只脚踩在现实边缘的孩子。	适用于格蕾丝、米什卡、小钉、滴答及其同类别名；保留异感和超龄洞察，不写成甜腻儿童腔。	https://pathologic.fandom.com/wiki/Grace	孩子气里带异感，像从现实边缘探头说话。	Npcs.Girl_Teen_Nata.Name
Buzzard	秃鹫	humble_underworld	major	口语、会试探、会抖包袱，笑里带刺也带价码。	适用于格里夫及其周边、街面和地下世界相关角色；重点是半真半假的熟人感、风声感和场面感。	https://pathologic.fandom.com/wiki/Bad_Grief	格里夫系的地下熟人感更重，说话更像替地盘探风声。	Npcs.GriefMate.Name
Valeria	瓦莱里娅	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Valeria.Name
Victor Kain	维克多·凯恩	utopian_patrician	major	高位、抽象、结构先行，像在解释世界如何运作。	适用于凯恩家和与城市结构、多面体、现实设计有关的高位人物；重点是世界解释权和上位距离。	https://pathologic.fandom.com/wiki/Simon_Kain	守成、体面、背着家族责任说话。	Npcs.VictorKain.Name
Veronica Croy	维罗妮卡·克罗伊	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Voronika.Name
Pawn	夏洛特	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Charlotte.Name
Chess Club Director	象棋俱乐部主管	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.ChessMaestro.Name
Sticky	小钉	children_liminal	major	轻、怪、安静，像半只脚踩在现实边缘的孩子。	适用于格蕾丝、米什卡、小钉、滴答及其同类别名；保留异感和超龄洞察，不写成甜腻儿童腔。	https://pathologic.fandom.com/wiki/Grace	狡黠、灵、脏兮兮但不油腻。	Npcs.Spichka.Name
Trader	小贩	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Merchant.Name
Vlad the Younger	小弗拉德	olgimsky_family	major	稳、重、讲掌控和继承，产业与家产的现实感很强。	适用于奥尔金斯基家族及其直接影响范围；比凯恩家更落地、更占有、更讲安排和控制。	https://pathologic.fandom.com/wiki/Big_Vlad	会谈条件，会包装自己，不是轻浮少爷。	Npcs.YoungVlad.Name
Serafima	谢拉菲玛	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Serafima.Name
Bachelor	学者	healer_bachelor	core	先判断后论证，礼貌外壳下压着焦躁与优越感。	适用于 Bachelor 本人和明显承自学院观察者视角的自述；要有分析欲、责任感和冷感并存。	https://pathologic.fandom.com/wiki/Bachelor	先判断后论证，礼貌外壳下压着焦躁与优越感。	Npcs.Danko.Name
Patrolman	巡逻的人	state_force_generic	secondary	命令式、程序式、执行式，短句优先。	适用于军队、警备、调查和政府执行链条角色；重点是职能感，不是华丽措辞。	https://pathologic.fandom.com/wiki/Aglaya_Lilich		Npcs.IzekPatrolman.Name
Yakov Little	雅科夫·利特尔	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Vatson.Name
Alexander Block	亚历山大·布洛克	capital_authority	major	冷、硬、程序清楚，像在裁定、分责和宣告边界。	首都审查、法度、调查、裁决相关角色；优先给人“制度压人”的感觉，不写成空官腔。	https://pathologic.fandom.com/wiki/Aglaya_Lilich	低温、程序化，个人情绪必须服从任务。	Npcs.Block.Name
Grouse	秧鸡	children_liminal	major	轻、怪、安静，像半只脚踩在现实边缘的孩子。	适用于格蕾丝、米什卡、小钉、滴答及其同类别名；保留异感和超龄洞察，不写成甜腻儿童腔。	https://pathologic.fandom.com/wiki/Grace	孩子气里带异感，像从现实边缘探头说话。	Npcs.Kamil.Name
Nightjar	夜鹰	children_liminal	major	轻、怪、安静，像半只脚踩在现实边缘的孩子。	适用于格蕾丝、米什卡、小钉、滴答及其同类别名；保留异感和超龄洞察，不写成甜腻儿童腔。	https://pathologic.fandom.com/wiki/Grace	孩子气里带异感，像从现实边缘探头说话。	Npcs.Klim.Name
Eva Yan	伊娃	utopian_bohemian	major	聪明、戏剧化、带自我展示欲，也带危险和失衡。	适用于斯塔马京兄弟、马克、伊娃等舞台感或审美感强的人；保留魅力、夸张和失稳边缘。	https://pathologic.fandom.com/wiki/Peter_Stamatin	柔软、审美化、轻盈，但不是空心花瓶。	Npcs.Eva.Name
Pawn	伊泽克	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Izek.Name
Cherry	樱桃	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Vishnya.Name
Yulia Lyuricheva	尤利娅·卢里切娃	humble_duty	major	务实、克制、先处理后果，再暴露情绪和疲惫。	适用于萨布罗夫、拉拉、鲁宾、尤利娅等“扛着现实的人”；重点是责任重力，不是温吞日常。	https://pathologic.fandom.com/wiki/Alexander_Saburov	清醒、敏感、观察快，比学者更有人味。	Npcs.Julia.Name
Postman	邮差	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Mailman.Name
Haruspex	肠卜师	healer_haruspex	core	粗粝、贴身、压着火，先伸手做事再开口解释。	适用于 Haruspex 本人及明显承自土地、身体和手艺经验的话语；少学院气，多动作和身体感。	https://pathologic.fandom.com/wiki/Haruspex	粗粝、贴身、压着火，讨厌空谈但可靠。	Npcs.Burakh.Name
Weaver	织工	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.Weaver.Name
Associate N.	助手N	town_role_generic	secondary	地方化、直给、以信息为先，说完事再说情绪。	适用于普通镇民、工人、守夜人、邻居、小贩、邮差等；要有镇上人的生存语感，不装腔。	https://pathologic.fandom.com/wiki/Townsfolk		Npcs.TanatColleagueN.Name
